system:index,DEM_slope,L4,NDMI_max,NDMI_mean,NDMI_min,NDMI_slope,NDMI_stdDev,NDVI_max,NDVI_mean,NDVI_min,NDVI_slope,NDVI_stdDev,Relative_elevation_100,TCB_max,TCB_mean,TCB_min,TCB_slope,TCB_stdDev,TCG_max,TCG_mean,TCG_min,TCG_slope,TCG_stdDev,TCW_max,TCW_mean,TCW_min,TCW_slope,TCW_stdDev,.geo
000000000000000005ce_0,0.16031528,1,0.76681614,0.40222266,0.06149628,-271.96194405527234,0.1333721538366134,0.5970149,0.3020689,-0.05185185,-904.4795006025385,0.15499048297686885,27.919489,0.20786025,0.059418816,0.01303206,-189.3807481612064,0.03655299941270988,0.04874172,0.0100567015,-0.00761596,-70.76920760448618,0.012471407031610248,0.008225704,-0.00615553,-0.101894215,45.90861034993898,0.01538925134802639,
000000000000000005d1_0,0.6252386,1,0.92105263,0.43779048,0.049573973,-747.3878075282477,0.1436897957399055,0.7071583,0.3694841,0.03807615,380.70472134095587,0.13963681720372956,25.372215,0.19895431,0.05389352,0.02080989,67.30257601555904,0.029759825066246533,0.09373872,0.010695954,-0.01048532,56.59971349156435,0.011791234868118632,0.017176542,-0.0045810984,-0.09874038,-38.60989407747388,0.013649209004641056,
000000000000000005d3_0,0.5053907,1,0.7586207,0.43019688,0.030627616,-529.6351781148985,0.17179608863044563,0.45454547,0.18264987,-0.14114115,-29.52426874684078,0.12165204871059321,39.279694,0.52791536,0.053914484,0.0168486,-292.81137639704406,0.060257560861402916,0.04535425,0.003479876,-0.01066859,-2.343820001116059,0.007866408600205784,0.034243688,-0.002919443,-0.23480639,83.62572924496094,0.026516280419082303,
000000000000000005d4_0,0.018413648,1,0.8031746,0.45926884,0.15,-505.6875857561268,0.14144288519712767,0.43654487,0.13330348,-0.24489796,-798.4739861846414,0.13862484663856386,25.555735,0.1482875,0.04922761,0.01631811,-59.13245574796118,0.0216608970986947,0.03899205,9.6396357E-4,-0.01061777,-6.241611438765935,0.007075985989116456,0.014164396,6.158891E-4,-0.05863043,-1.6288914340231073,0.00819710520169547,
000000000000000005d5_0,0.039727256,1,0.85281384,0.44219163,0.01923077,-1342.1255415698533,0.20029449245841846,0.52236843,0.1365879,-0.2112676,-53.11880708105408,0.13889808824288497,53.123993,0.15607172,0.045591045,0.01492463,-43.049456219259056,0.02658188965746312,0.04930123,6.353953E-4,-0.01342947,7.706277880625655,0.007631763172733926,0.012801749,-6.538264E-4,-0.07689635,-29.909266970079134,0.01277077250519107,
000000000000000005d8_0,0.46919835,1,0.8666667,0.4385233,-0.23076923,-1257.6281010720884,0.2055822548936227,0.5236246,0.022108003,-0.5121951,-91.13077054301019,0.16192446679515252,40.88685,0.23419425,0.04891482,0.01933093,-24.98340687780614,0.03214543835832624,0.04724755,-0.0050035953,-0.01614142,16.419133928163397,0.007939246381696675,0.010056478,5.387505E-5,-0.07200355,-41.84682481815001,0.011133045724484104,
000000000000000005da_0,0.13744049,1,0.9486125,0.43907973,-0.40425533,173.48465940933073,0.3503358105441822,0.10372341,-0.23106271,-0.8292683,881.0088174096473,0.1531615593831253,114.98104,0.25353646,0.09195541,0.0266601,267.1183299046214,0.06349609197474049,-0.0113098,-0.031792298,-0.07780123,2.9125248696365986,0.01510988223332433,0.05690611,0.011047259,-0.036263645,87.88744447722937,0.019814313257171944,
000000000000000005db_0,0.124434575,1,0.92195123,0.3886809,-0.13576159,-1127.0927925780657,0.23041960915178197,0.12579058,-0.45875674,-0.79684764,-1685.7611509966537,0.1804997325725382,118.33506,0.25390103,0.110452905,0.04546744,158.2697007907465,0.042130826140683704,-0.00834113,-0.05492292,-0.09839465,-171.25922523796666,0.02013803226410528,0.045256365,0.013614267,-0.07849975,65.84697730642593,0.015748824007375796,
000000000000000005dc_0,0.31367972,1,0.9105546,0.48138544,-0.13725491,2466.8497799737975,0.26155217723585644,0.2086331,-0.3421028,-0.80744547,-665.2698816919888,0.20271913049790105,161.05753,0.26487628,0.1158531,0.03384978,699.1199841868208,0.06148670999001283,-0.00540204,-0.048622984,-0.0847573,-305.98573091633546,0.021116840302791602,0.055008084,0.015008196,-0.023913879,174.3743429425892,0.016040947677739305,
000000000000000005dd_0,0.23361066,1,0.8072289,0.39543155,-0.20843092,-1833.2341523053049,0.2704032989016458,0.2603939,-0.12126969,-0.37238494,-212.56347037096342,0.132861057940377,125.64003,0.1907429,0.047394395,0.02091547,-115.08135247652537,0.03034894029542677,1.485E-5,-0.013586499,-0.06500107,15.11432468242432,0.00889168114772414,0.029566685,0.003000386,-0.036886305,-38.87952410818845,0.00855827017400352,
000000000000000005de_0,0.058007568,1,0.83138174,0.45199218,-0.36263737,-924.8173224268376,0.22470358302712495,-0.10907237,-0.4633008,-0.8947368,-179.31977245403334,0.14651616648853102,195.92857,0.25150758,0.12802587,0.05371048,34.03476808730674,0.03781246190427496,-0.02365212,-0.060813863,-0.08769879,-27.876327375748794,0.011175504377867743,0.044107605,0.017795302,-0.034607727,-1.548173133502349,0.010849430371517648,
000000000000000005e2_0,0.20317999,1,0.8631347,0.35438007,-0.19298245,-4191.695606277266,0.26087597804265583,0.06408952,-0.41069055,-0.75768536,-422.3001153503409,0.1506329365353339,231.71259,0.26309067,0.12764321,0.02251821,-702.577541471546,0.05222105926337039,-0.00983062,-0.052583143,-0.11377722,189.07941843361863,0.01935802232792753,0.048531536,0.015964048,-0.06440352,-224.5123643876931,0.016852001433623566,
000000000000000005e3_0,0.06995811,1,0.8331347,0.37363896,-0.35064936,-2082.2002403280694,0.2720390887068367,0.069767445,-0.27902085,-0.6535032,1228.504675924716,0.1465532390276758,241.8472,0.25658834,0.10623815,0.0261039,-420.3917875814088,0.06047499835600137,-0.0120318,-0.04247203,-0.08976519,191.76807598496163,0.020525139004595,0.047949567,0.009586571,-0.03140736,-107.36219011928507,0.015302281494882254,
